domain_name,ad_count,sources,sample_url
dlescheit.com,172,card|link,http://dlescheit.com/?content_id=3
ecdsvevtr4cdres.com,1,card|link,http://ecdsvevtr4cdres.com/?pEl8X=szvnknir
economicinsight360.com,1,card,https://economicinsight360.com/?creative=&fb_action=Purchase&adset_id={{adset.id}}&fb_action_f=Purchase&adset_name={{adset.name}}&placement={{placement}}&suuid=6a5acbb6-a2b5-41b6-aedf-c5d4208fe02f&launcher=e9c67ebc-4687-4a1f-8781-0268967afee5&token=EAAe4UQxmEUYBSF3NO3KEPbjUJw5sYemic99ce34ZBtQbJ34l9zYhnvMwMWEZBcMfhSWttvhMwtsCZCntiLatZB8XJPD43g1o34ulU1Mr0hpwVEwv6QiXqxsJgB3hubJVgZAAIoZBbbdlRqgJlarZBLeaHZAvmUgDpwZAf1SIUOX7TxzFq7lkD8gfpZAwZBnNMJIWR2EUQZDZD&cuuid=18651256-bb45-4b89-908c-eecbf3b6e7d7&ad_id={{ad.id}}&campaign_name={{campaign.name}}&pixel=1457401899529110&ad_name={{ad.name}}&campaign_id={{campaign.id}}&product_id={{product.id}}
ecwdskndsdcsa.com,4,card,https://ecwdskndsdcsa.com/?pEl8X=szvnknir
eiusbvniaofno.com,20,card,http://eiusbvniaofno.com/?content_id=s2nirm22&jkm_id=Haq
everydaybirch.com,201,card,https://everydaybirch.com/
ewcdsihojsa.com,1,link,http://ewcdsihojsa.com/?pEl8X=szvnknir
forursuclive.com,2,card,https://forursuclive.com/
freshindiaworld.com,1,link,http://freshindiaworld.com/?pEl8X=szvnknir
gbiredcsjnkx.com,19,card,http://gbiredcsjnkx.com/?content_id=ajtan&jkm_id=HT2
gir4uencsokmlz.com,118,card,http://gir4uencsokmlz.com/?content_id=mukaka&jkm_id=HT2
headlinexoras.com,7,card,https://headlinexoras.com/?content_id=in01-2017/06-2&utm_creative=shah-potuzhna01--4x5
herbal-yr.fit,198,card,https://herbal-yr.fit/index.php?key=f7df63eeef8e4ea5836217b6dd946f93&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}}&ad_name={{ad.name}}&adset_name={{adset.name}}&campaign_name={{campaign.name}}&productretailer_id={{product.retailer_id}}&pixel=1041229115333137&site_source_name={{site_source_name}}&placement={{placement}}&atoken={atoken}
ianwrithi.com,2,card,http://ianwrithi.com/?content_id=1&pEl8X=szvnknir
ibg4rejnfkdo.com,20,card,http://ibg4rejnfkdo.com/?content_id=rahamo&jkm_id=Haq
ibmgippt.com,38,card|link,http://ibmgippt.com/?content_id=5
ibnurilbndscl.com,40,card,http://ibnurilbndscl.com/?content_id=mukaka&jkm_id=HT2
ibruevndscokml.com,29,card,http://ibruevndscokml.com/?content_id=niramire&jkm_id=HT2
idasiop.com,15,card,http://idasiop.com/?content_id=5
idnhout.com,278,card|link,http://idnhout.com/?content_id=3
ienklit.com,9,card,http://ienklit.com/?content_id=3
iknletu.com,12,card,http://iknletu.com/?content_id=1
iknpior.com,16,card,http://iknpior.com/?content_id=1&pEl8X=szvnknir
iknroling.com,1,card,http://iknroling.com/?content_id=2&pEl8X=szvnknir
ilnkarip.com,20,card|link,http://ilnkarip.com/?content_id=4&pEl8X=szvnknir
ilnkuter.com,7,card,http://ilnkuter.com/?content_id=3
ilntieap.com,2,card,http://ilntieap.com/?content_id=6
imniksiol.com,1,card,http://imniksiol.com/?content_id=1
indavibuervole.com,2,card,http://indavibuervole.com/?pEl8X=szvnknir
indianbookcritics.in,68,link,http://indianbookcritics.in/
indiavoidengine.com,1,link,http://indiavoidengine.com/?pEl8X=szvnknir
indivfrewdxsaxdce.com,1,card,http://indivfrewdxsaxdce.com/?pEl8X=szvnknir
insibdcwlrvefcdbsuj.com,4,card,http://insibdcwlrvefcdbsuj.com/?pEl8X=szvnknir
investingooodinin.com,4,card|link,http://investingooodinin.com/
irbenjcdkslm.com,121,card|link,http://irbenjcdkslm.com/?content_id=s2nirm22&jkm_id=HT2
irvbuenefwds.com,12,card,http://irvbuenefwds.com/?content_id=callofd&jkm_id=MAnnny
itnmutry.com,3,card,http://itnmutry.com/?content_id=6
iubrvbecdnosl.com,1,card,http://iubrvbecdnosl.com/?content_id=ajtan&pEl8X=szvnknir
iuerhvolsaedc.com,18,card,http://iuerhvolsaedc.com/?content_id=repsud&pEl8X=szvnknir
jinr4evdkcmsl.com,65,card,http://jinr4evdkcmsl.com/?content_id=nirminvite2&jkm_id=HT2
jivrenckslkm.com,18,card|link,https://jivrenckslkm.com/?content_id=ajtan&pEl8X=szvnknir
jlnrvkefdscmx.com,12,card,http://jlnrvkefdscmx.com/?content_id=hinajta&pEl8X=szvnknir
johnpride.in,2,link,https://www.johnpride.in/?pEl8X=szvnknir
jotkijd.com,13,card,https://jotkijd.com/
jrvoeiwnoqncwe.com,1,card,http://jrvoeiwnoqncwe.com/?pEl8X=szvnknir
kalamkarifashion.com,3,link,https://kalamkarifashion.com/?pEl8X=szvnknir
kehrvchedbc.com,20,card|link,http://kehrvchedbc.com/?pEl8X=szvnknir
kjnferwni3rgefv.com,3,card,http://kjnferwni3rgefv.com/?content_id=nira&pEl8X=szvnknir
kjrnvfecdqwdfv.com,64,card,http://kjrnvfecdqwdfv.com/?content_id=ajtan&pEl8X=szvnknir
littlefoxcorner.com,24,card,https://littlefoxcorner.com/
littleitaly.in,1008,card|link,http://littleitaly.in/
mezaxs.com,18,card,https://mezaxs.com/?pEl8X=szvnknir
midnightindiavisualmatrixarchivehub.com,1,link,http://midnightindiavisualmatrixarchivehub.com/?pEl8X=szvnknir
mnubriceds3ecwd.com,1,card,https://mnubriceds3ecwd.com/?pEl8X=szvnknir
moneysavinganswers.net,1,link,https://1059104.moneysavinganswers.net/search/senior-moving-expense-assistance-eligibility-in-2026-who-may-qualify-and-what-to-know-996804?section_name={{adset.name}}&arb_campaign_id=1059104&oldp=996804&arb_direct=on&ad_name={{ad.name}}&arb_ad_id=3311141&section_id={{adset.id}}&campaign_name={{campaign.name}}&utm_campaign=arb-1059104&utm_lid=996804&utm_source=fb&ad_id={{ad.id}}&short_name=fbk&site_source_name={{site_source_name}}&network=facebook&utm_uid=659&campaign_id={{campaign.id}}&placement={{placement}}
morningoakstudio.com,581,card,https://morningoakstudio.com/
mowdmcporvx.com,38,card,http://mowdmcporvx.com/?content_id=mukaka&jkm_id=Haq
mvrescpaon.com,4,card,http://mvrescpaon.com/?content_id=joko&jkm_id=MAnnny
nirveocdspmlre21.com,3,card,https://nirveocdspmlre21.com/?pEl8X=szvnknir
niu4rve4ervfno.com,68,card,http://niu4rve4ervfno.com/?content_id=ajtan&jkm_id=Haq
noeriwsdcjce.com,3,card,http://noeriwsdcjce.com/?content_id=sinhmod&pEl8X=szvnknir
noiverjio34.com,14,card,http://noiverjio34.com/?content_id=callofd&pEl8X=szvnknir
northgardenview.com,7,card,https://northgardenview.com/?pEl8X=szvnknir
nrvdmewsa.com,8,card|link,http://nrvdmewsa.com/?pEl8X=szvnknir
nrveodscxljrfom.com,4,card|link,https://nrveodscxljrfom.com/?content_id=s2nirm22&pEl8X=szvnknir
nug1frewkdo.com,5,card,http://nug1frewkdo.com/?content_id=saj&jkm_id=Haq
nurerecdecw.com,5,card,http://nurerecdecw.com/?content_id=s2nirm22&pEl8X=szvnknir
ornvueisdmccd.com,118,card,http://ornvueisdmccd.com/?content_id=joko&jkm_id=HT2
pepperfry.com,27,card|link,http://www.pepperfry.com/
plussizekurti.com,1,card|link,https://plussizekurti.com/products/floral-infuse-print-cotton-2-peice-kurta-pant-in-musturd-yellow-by-plussizekurti-copy
pmociewamiqsx.com,65,card,http://pmociewamiqsx.com/?content_id=joko&jkm_id=HT2
pofmrecodwsx.com,3,card,http://pofmrecodwsx.com/?content_id=shakta&jkm_id=HT2
popadauvmast.com,1,card,http://popadauvmast.com/
porasobiratmusli.com,29,card,http://porasobiratmusli.com/
pporeiovdnscml.com,29,card,http://pporeiovdnscml.com/?content_id=saj&jkm_id=HT2
pressora1.com,3,card,https://pressora1.com/?content_id=in01-2017/05-3&utm_creative=shah-potuzhna01--4x5
qqpalacewap.com,3,card,http://qqpalacewap.com/
quietmeadowhome.com,248,card,https://quietmeadowhome.com/
quietriverstone.com,5,card,https://quietriverstone.com/
r4vedsczsas.site,1,card,http://r4vedsczsas.site/?pEl8X=szvnknir
reinvcdsmlx.com,4,card,http://reinvcdsmlx.com/?content_id=mukaka&jkm_id=MAnnny
rvbhjdecs.com,12,card,http://rvbhjdecs.com/?content_id=rahamo/1&jkm_id=MAnnny
rvbiedsnksa.com,1,card,http://rvbiedsnksa.com/?content_id=joko&pEl8X=szvnknir
rvn4oiuedcsm.com,74,card,http://rvn4oiuedcsm.com/?content_id=rahamo&jkm_id=RK
sakopreverm.com,2,card,http://sakopreverm.com/?content_id=saj&pEl8X=szvnknir
salvandoadictos.com,3,card,http://salvandoadictos.com/
sesminds.com,8,card,https://sesminds.com/
shadowindiahorizon.com,2,link,http://shadowindiahorizon.com/?pEl8X=szvnknir
shadowvoidindia.com,2,link,http://shadowvoidindia.com/?pEl8X=szvnknir
smartdealsearch.com,5,link,https://smartdealsearch.com/p/comprehensive-guide-to-senior-hearing-aid-programs-and-eligibility-728242.webm?network=facebook&campaign_id={{campaign.id}}&utm_source=fb&section_id={{adset.id}}&short_name=fbk&ad_name={{ad.name}}&campaign_name={{campaign.name}}&arb_ad_id=2700292&utm_campaign=arb-715168&arb_direct=on&ad_id={{ad.id}}&section_name={{adset.name}}&arb_campaign_id=715168
theaugustco.in,1,link,https://www.theaugustco.in/?pEl8X=szvnknir
thebookreviewindia.org,6,link,http://thebookreviewindia.org/
uhepcweecw.com,2,card,https://uhepcweecw.com/?pEl8X=szvnknir
unir3oedsl.com,40,card,http://unir3oedsl.com/?content_id=joko&jkm_id=HT2
urjeoscvevdfs.com,13,card,http://urjeoscvevdfs.com/?content_id=niramire&pEl8X=szvnknir
v3rcednvm.com,2,card,https://v3rcednvm.com/?pEl8X=szvnknir
veubhsfcdjk.com,12,card,http://veubhsfcdjk.com/?content_id=niramire/1&jkm_id=MAnnny
vkbejrfom.com,1,card,https://vkbejrfom.com/
voidindiagrid.com,4,link,http://voidindiagrid.com/?pEl8X=szvnknir
vrubhedjcks.com,9,card|link,http://vrubhedjcks.com/?content_id=phino2&pEl8X=szvnknir
vybucidknlds3.com,16,card|link,http://vybucidknlds3.com/?pEl8X=szvnknir
whiteindiaportal.com,1,link,http://whiteindiaportal.com/?pEl8X=szvnknir
wildmaplehouse.com,328,card|link,http://wildmaplehouse.com/?content_id=3
willowgardenhouse.com,6,card,https://willowgardenhouse.com/
xopwsodmrtgv8.com,3,card,http://xopwsodmrtgv8.com/?content_id=shaktar&jkm_id=HT2
yabulnadnepozhdenii.com,26,card,http://yabulnadnepozhdenii.com/
ybvcinjol.com,14,card,https://ybvcinjol.com/
yoshp.com,198,link,https://yoshp.com/ramon
